# Eint(Ref)    Eint(Model)
     -1.56773865E-04      -3.04329176E-04       4.13760543E-02       4.07442708E-02       1.70756768E-02       1.67062587E-02
     -1.74107637E-05       7.24592220E-07       1.18616660E-02       1.21705597E-02       1.11048579E-02       1.00457742E-02
     -4.14958959E-05      -9.12614170E-05       2.30222435E-02       2.32060878E-02       1.07721871E-02       1.06708386E-02
     -2.37750509E-04      -4.33339726E-04       5.04704960E-02       5.06177378E-02       1.07940173E-02       9.89416728E-03
     -5.42092930E-05      -1.09531842E-04       2.36688551E-02       2.32713060E-02       1.53234075E-02       1.53401964E-02
     -2.19079591E-04      -3.78710916E-04       5.41822082E-02       5.41532564E-02       2.77475751E-02       2.79362297E-02
     -1.41014705E-04      -4.19629277E-04       3.96691019E-02       3.98308546E-02       2.21459370E-02       2.19548605E-02
     -1.55186132E-04      -2.82363119E-04       4.45374964E-02       4.43948507E-02       2.26122735E-02       2.37050013E-02
     -3.67512143E-05      -8.21723827E-05       2.11212677E-02       2.03595997E-02       1.38930863E-02       1.41317309E-02
     -8.91710591E-05      -2.57470339E-04       3.37023296E-02       3.39905421E-02       3.10654060E-02       3.18310712E-02
     -1.76828243E-05      -1.79806796E-05       1.26811262E-02       1.21101409E-02       9.51817704E-03       9.73299084E-03
     -4.20085185E-05      -9.82114539E-05       2.18347385E-02       2.20367811E-02       1.44560103E-02       1.35464831E-02
     -1.37643730E-04      -3.67612336E-04       4.35597460E-02       4.26845592E-02       3.30143295E-02       3.23997907E-02
     -1.91777776E-04      -3.63278358E-04       5.08745498E-02       5.05653760E-02       4.07463118E-02       4.03684693E-02
     -2.11553494E-05      -6.19570073E-05       1.28512251E-02       1.26628256E-02       1.23025791E-02       9.86791380E-03
     -4.08588164E-05      -3.72888350E-05       2.11202484E-02       2.09706804E-02       1.23623859E-02       1.03092600E-02
     -1.93695062E-05      -2.13956395E-05       1.37804533E-02       1.37431466E-02       1.52993992E-02       1.45516430E-02
