# Eint(Ref)    Eint(Model)
     -1.06099142E-02      -2.12549077E-02      -1.02412895E-02       3.54396942E-01       3.45093362E-01       3.45093362E-01       1.67540259E-01       1.40112243E-01       1.92417796E-01
     -1.11015456E-03      -1.74692070E-03      -8.45246483E-04       9.29284153E-02       9.31328907E-02       9.31328907E-02       8.78818614E-02       5.56512883E-02       6.40503341E-02
     -2.66605845E-03      -5.32578651E-03      -2.62008294E-03       1.86929409E-01       1.88367587E-01       1.88367587E-01       9.92701224E-02       8.76371341E-02       8.71674793E-02
     -1.48594009E-02      -3.11629662E-02      -1.43584866E-02       4.05140495E-01       4.01065234E-01       4.01065234E-01       1.19985197E-01       1.13432291E-01       2.00474159E-01
     -3.44228084E-03      -5.56818787E-03      -2.39326920E-03       1.89791169E-01       1.65647893E-01       1.65647893E-01       1.24728544E-01       6.18826243E-02       8.33429124E-02
     -1.42209116E-02      -3.10714534E-02      -1.51482217E-02       4.39895235E-01       4.54115603E-01       4.54115603E-01       2.05574617E-01       2.18281082E-01       2.43623279E-01
     -9.11857527E-03      -1.97141877E-02      -9.44076521E-03       3.26578213E-01       3.29160157E-01       3.29160157E-01       1.88633646E-01       1.68613129E-01       2.15502030E-01
     -1.00767055E-02      -2.06872451E-02      -1.00598815E-02       3.59222531E-01       3.65711824E-01       3.65711824E-01       1.47146716E-01       1.75592917E-01       1.92799573E-01
     -2.32092886E-03      -4.50447038E-03      -2.03336599E-03       1.68493128E-01       1.62505353E-01       1.62505353E-01       1.11105345E-01       8.30215996E-02       9.74758691E-02
     -5.52983428E-03      -1.13704875E-02      -5.19414635E-03       2.61096842E-01       2.65230139E-01       2.65230139E-01       2.35416407E-01       1.77971887E-01       1.94295762E-01
     -1.12434787E-03      -1.85739842E-03      -8.78186886E-04       1.00429304E-01       9.99225094E-02       9.99225094E-02       7.47717856E-02       5.13142946E-02       5.88963753E-02
     -2.69043596E-03      -5.48372088E-03      -2.59064534E-03       1.77108790E-01       1.76416629E-01       1.76416629E-01       1.19944549E-01       8.71020952E-02       1.08004081E-01
     -9.43853275E-03      -1.78259731E-02      -8.34673932E-03       3.88145368E-01       3.39880516E-01       3.39880516E-01       3.54916043E-01       2.09630655E-01       2.22628227E-01
     -1.37080700E-02      -2.49825577E-02      -1.15847039E-02       4.82077308E-01       3.96074457E-01       3.96074457E-01       4.87634202E-01       2.37779519E-01       2.62228924E-01
     -1.34811537E-03      -2.13441734E-03      -1.04557781E-03       1.00914248E-01       1.04526441E-01       1.04526441E-01       1.00530543E-01       5.76905730E-02       7.21809934E-02
