#          NCB31              BBI
#          OEP     EFP2       OEP     EFP2
# DDS
ERROR    -0.65   -7.60      -5.96   -15.03
RMSE      2.0195  2.5887     0.5162   1.1687
R2        0.9634  0.9399     0.9811   0.9034
# MRL
ERROR   +12.25   +7.44      +7.37    -3.07
RMSE      1.9678  2.4941     0.6209   0.2708
R2        0.9679  0.9485     0.9654   0.9934
